Nov 25 10:53:27 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 19, retried or failed 0
Nov 25 10:53:27 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 19, retried or failed 0
Nov 25 10:53:27 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 19, retried or failed 0
Nov 25 10:53:27 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 122, retried or failed 4
Nov 25 10:53:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 60, retried or failed 0
Nov 25 10:53:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 19, retried or failed 0
Nov 25 10:53:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 19, retried or failed 0
Nov 25 10:53:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 19, retried or failed 0
Nov 25 10:53:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 122, retried or failed 4
Nov 25 10:53:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 60, retried or failed 0
Nov 25 10:53:47 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 19, retried or failed 0
Nov 25 10:53:47 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 19, retried or failed 0
Nov 25 10:53:47 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 19, retried or failed 0
Nov 25 10:53:47 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 122, retried or failed 4
Nov 25 10:53:57 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 61, retried or failed 0
Nov 25 10:53:57 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 20, retried or failed 0
Nov 25 10:53:57 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 20, retried or failed 0
Nov 25 10:53:57 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 20, retried or failed 0
Nov 25 10:53:57 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 123, retried or failed 4
Nov 25 10:54:07 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 61, retried or failed 0
Nov 25 10:54:07 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 20, retried or failed 0
Nov 25 10:54:07 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 20, retried or failed 0
Nov 25 10:54:07 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 20, retried or failed 0
Nov 25 10:54:07 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 123, retried or failed 4
Nov 25 10:54:17 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 61, retried or failed 0
Nov 25 10:54:17 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 20, retried or failed 0
Nov 25 10:54:17 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 20, retried or failed 0
Nov 25 10:54:17 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 20, retried or failed 0
Nov 25 10:54:17 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 123, retried or failed 4
Nov 25 10:54:27 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 64, retried or failed 0
Nov 25 10:54:27 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 21, retried or failed 0
Nov 25 10:54:27 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 21, retried or failed 0
Nov 25 10:54:27 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 21, retried or failed 0
Nov 25 10:54:27 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 124, retried or failed 4
Nov 25 10:54:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 66, retried or failed 0
Nov 25 10:54:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 21, retried or failed 0
Nov 25 10:54:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 21, retried or failed 0
Nov 25 10:54:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 21, retried or failed 0
Nov 25 10:54:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 124, retried or failed 4
Nov 25 10:54:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 66, retried or failed 0
Nov 25 10:54:47 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 21, retried or failed 0
